"avg_sleep_hours_per_night
",avg_exercise_days_per_week,avg_work_or_study_hours_per_week,avg_screen_hours_per_day,social_interaction_quality_rating,diet_healthiness_rating,smoking_drinking_habits_rating,avg_recreational_hours_per_week,stress_probability
5,0,40,3,8,8,1,14,0
6,0,55,10,3,5,1,5,1
8,7,40,2,4,8,4,6,0
7,2,35,5,6,7,2,5,0
5,4,35,6,4,4,6,1,1
7,2,45,4,7,7,1,10,0
6,1,55,9,5,5,3,2,1
5.5,0,50,1,8,7,2,7,0
6.5,0,30,5,6,7,4,3,0
7,4,35,6,7,8,3,6,0
6,0,45,8,5,4,6,0,1
8,3,70,8,8,8,1,7,0
6,0,60,4,3,6,4,0,1
7,1,50,6,7,7,3,4,0
5.5,0,54,2,4,5,6,7,1
8,5,35,9,7,8,4,14,0
6,0,45,1,5,7,2,2,0
5,0,54,4,3,7,1,0,1
7,4,55,3,6,6,4,5,0
6.5,2,50,5,3,5,5,0,1
8,0,40,4,7,7,1,7,0
5.5,0,55,6,3,6,2,5,1
7,2,45,8,6,7,3,8,0
6,1,55,7,4,5,2,2,1
8,4,40,9,7,8,3,6,0
6,0,54,4,5,6,7,0,1
7,2,45,6,6,7,4,3,0
5,0,70,10,4,5,6,0,1
8,3,50,8,7,8,3,7,0
6,0,35,6,5,6,2,4,0
5.5,0,54,4,4,5,7,0,1
7,1,45,6,6,7,3,3,0
6.5,3,30,7,5,6,2,14,0
5.5,0,50,4,3,4,7,1,1
7,0,55,10,5,3,5,0,1
6,3,45,4,8,6,1,7,0
5,2,50,8,4,5,2,3,1
6.5,0,70,1,5,2,4,0,1
7,4,45,3,6,8,1,5,0
7,1,30,2,7,5,5,12,0
6,0,55,10,4,6,3,0,1
8,0,40,4,7,8,2,7,0
6.5,2,40,5,4,7,6,2,1
5.5,0,45,2,8,6,1,5,0
7,1,50,4,4,3,5,0,1
6,0,55,7,5,3,6,5,1
5.5,0,65,2,4,6,5,0,1
8,4,54,9,8,7,1,6,0
6.5,1,40,8,3,6,8,0,1
5,0,35,2,9,7,1,0,0
7,0,50,9,5,4,4,5,1
6,4,50,3,6,7,1,4,0
5.5,0,55,10,6,6,4,0,1
8,3,45,5,7,4,6,0,0
6.5,0,50,6,4,6,1,5,1
6,0,55,0,8,7,3,7,0
7,2,70,5,5,5,7,0,1
6,0,55,10,4,6,1,1,1
5,0,50,4,4,5,3,2,1
7.5,4,35,9,6,6,1,5,0
6,2,40,8,5,7,3,3,0
5.5,0,54,10,6,6,2,0,1
8,0,0,12,1,5,5,28,1
6,4,45,5,5,6,1,2,0
5.5,2,45,10,4,7,4,0,1
7,2,45,7,6,7,2,4,0
6.5,1,55,5,5,6,1,5,0
5,0,72,0,4,5,5,0,1
7.5,3,35,9,6,7,4,5,0
6,0,50,10,4,5,1,0,1
5.5,4,40,3,8,5,3,2,0
7,1,50,8,6,7,2,4,0
7,0,35,4,5,3,1,15,0
5,0,45,3,3,5,4,0,1
8,4,50,6,6,8,1,5,0
6,2,50,2,2,6,6,0,1
5.5,0,60,4,5,7,4,5,1
7,3,35,7,6,7,3,3,0
6.5,2,55,5,5,6,1,2,0
5,0,45,6,4,5,4,1,1
7,2,54,4,6,8,3,0,0
6.5,2,55,5,10,6,4,7,0
5,0,45,11,6,7,1,0,1
7.5,3,40,2,4,8,4,6,0
6,0,50,10,5,7,5,0,1
6,2,45,2,9,5,2,0,0
6.5,0,50,4,6,4,1,5,1
7,3,50,5,7,8,2,3,0
6.5,0,45,0,6,5,6,0,1
5.5,0,20,6,7,5,2,5,0
7,2,20,4,7,7,5,4,0
6,0,45,10,5,6,3,5,1
5.5,0,40,0,9,6,3,0,0
7,2,45,8,7,4,1,7,0
7,0,30,3,4,6,1,0,0
5,0,55,6,6,7,7,0,1
7.5,2,55,5,6,7,2,10,0
6,0,45,2,5,6,3,5,0
5.5,1,50,10,4,6,1,0,1
8,0,35,4,7,8,3,14,0
6,2,72,12,6,7,2,0,1
5,0,54,3,6,5,3,0,1
7.5,4,40,10,8,8,1,14,0
6,2,55,9,5,7,6,10,1
5.5,0,54,2,3,4,4,0,1
7,0,50,0,6,8,3,0,0
6.5,5,30,6,5,6,4,20,0
5.5,0,45,3,8,6,1,7,0
7.5,2,55,10,7,6,2,5,0
6,0,50,4,8,5,1,10,1
5.5,0,54,3,5,5,8,5,1
7,1,54,4,1,5,4,10,1
6.5,2,35,8,5,6,3,0,0
6,0,25,8,3,7,1,15,1
7.5,3,50,6,7,8,3,5,0
6,0,40,4,3,8,8,0,1
5.5,0,72,9,5,4,1,0,1
7,3,55,9,6,7,4,7,0
6.5,0,40,10,3,6,6,10,1
6,0,54,10,6,4,5,4,1
7.5,4,45,2,7,8,3,7,0
6,0,45,3,5,3,1,0,1
5.5,0,35,3,4,5,3,14,1
7.5,6,54,12,5,8,1,14,0
7,1,30,3,7,5,6,5,0
6,0,45,5,3,7,3,0,1
6,1,35,3,8,6,5,10,0
7,0,50,4,7,4,1,7,0
6.5,0,40,2,6,7,1,4,0
5,0,50,4,3,6,1,5,1
7.5,2,55,11,4,7,4,14,1
6,0,50,1,7,8,3,5,0
7,0,35,3,3,7,1,7,0
6.5,0,30,4,6,5,1,15,0
6,1,70,3,5,6,5,0,1
6,0,55,4,4,7,3,5,1
5.5,2,30,6,8,8,1,14,0
7.5,0,50,10,5,5,5,0,1
6,0,45,9,6,6,6,7,1
6,5,20,4,3,7,4,10,0
6.5,0,35,5,7,5,1,0,0
5.5,1,40,4,4,8,1,14,0
7,0,55,12,3,8,3,7,1
7,2,30,4,6,5,4,7,0
5,0,60,0,7,4,5,0,1
7,1,50,4,3,5,5,7,1
6.5,0,45,3,8,6,1,5,0
6,0,30,4,6,5,1,14,0
7,4,45,8,6,8,1,10,0
6.5,0,50,3,4,6,4,0,1
5,0,75,12,7,7,1,0,1
7.5,3,40,5,5,7,1,10,0
6,0,50,4,4,5,6,5,1
6.5,0,30,3,4,7,1,0,0
8,2,36,4,6,4,1,10,0
7,0,40,3,5,6,1,2,0
6,0,30,4,3,3,5,0,1
7,1,50,9,2,6,3,5,1
6,0,40,10,5,6,6,5,1
5.5,2,30,4,9,7,1,0,0
7,0,45,11,8,8,1,5,0
6,2,50,4,3,6,6,2,1
5,0,60,1,6,6,4,0,1
7.5,1,45,2,7,2,1,14,0
6,0,30,4,5,6,3,5,0
5.5,0,55,2,7,7,1,0,0
7,4,50,4,5,4,6,5,1
6.5,2,35,8,6,3,8,10,1
5,0,45,11,8,5,1,0,1
6,5,50,10,6,7,4,7,0
7,0,55,3,2,5,4,0,1
8,0,63,0,7,5,10,0,1
7,0,63,0,7,5,9,0,1
7.5,7,45,9,6,6,4,10,0
7,2,40,2,5,7,1,4,0
5.5,0,50,12,6,5,1,0,1
6.5,1,55,1,7,6,6,5,0
7,0,45,3,8,5,3,7,0
6,0,45,4,4,6,5,0,1
5.5,2,50,2,9,5,1,4,0
7.5,4,45,4,6,7,3,7,0
6,0,72,0,5,6,3,0,1
5,0,72,1,6,6,1,0,1
7,4,55,10,7,6,2,7,0
6,0,50,9,5,7,7,2,1
6,2,45,3,5,9,1,15,0
7,0,30,2,8,5,1,14,0
8,0,40,3,7,4,3,10,0
5.5,0,45,11,8,5,3,0,1
5.5,2,40,2,2,5,5,4,1
6,0,50,3,4,6,2,0,1
5,0,60,3,6,4,1,0,1
8,5,45,12,3,9,4,14,1
6,3,40,10,8,8,1,5,0
7,0,63,1,7,5,5,0,1
7,7,54,1,9,8,5,0,0
8,0,0,0,5,3,10,0,1
4,0,85,14,2,9,1,0,1
6,2,45,2,7,8,5,7,0
7,4,30,3,5,7,1,0,0
6,0,54,9,7,8,1,14,0
7,0,50,2,3,4,4,0,1
6.5,3,45,9,3,5,5,4,1
8,0,30,1,6,5,1,0,0
7,0,30,4,8,5,1,2,0
6,2,40,3,2,5,3,0,1
5,0,50,4,6,4,3,0,1
7,4,40,10,2,7,3,14,0
8,0,30,4,5,6,5,9,0
6,0,54,3,3,4,1,0,1
7.5,6,40,10,4,8,3,7,0
6,3,45,2,5,4,1,0,0
5.5,3,45,4,3,6,3,2,1
7,0,45,14,2,8,2,28,0
7,0,40,2,8,6,4,5,0
5,0,50,2,4,7,1,0,1
7.5,2,45,3,9,5,1,7,0
7,0,50,0,9,5,7,0,1
6,0,50,2,8,5,6,4,1
7,4,55,10,6,8,2,7,0
8,0,40,4,5,7,1,5,0
5,0,50,2,4,5,1,0,1
7.5,5,30,3,7,3,1,10,0
6,2,40,10,5,4,5,0,1
7,0,60,3,5,6,5,0,1
8,0,35,9,6,7,1,7,0
6,2,40,3,9,6,1,2,0
5,0,40,10,1,7,3,2,1
8,7,0,4,2,7,3,21,0
6,0,40,3,4,4,6,7,1
5.5,0,70,0,5,4,4,0,1
6,0,70,1,7,5,2,0,1
7,2,45,6,4,7,3,9,0
8,5,36,4,8,7,1,7,0
8,0,52,2,5,6,1,4,0
6,0,84,0,7,8,3,0,1
6.5,2,45,11,2,7,1,14,0
7,0,77,0,8,7,4,2,1
8,3,60,12,3,8,1,7,0
8,0,45,0,9,6,6,0,0
7,0,40,9,7,6,1,0,0
6,6,65,11,6,8,1,14,0
5.5,0,40,3,10,7,1,21,0
7,5,36,1,10,6,6,7,0
6,0,40,9,5,7,1,5,0
5,0,35,4,4,5,6,0,1
6,7,70,1,8,3,9,4,1
6,0,40,2,7,7,3,5,0
6,0,50,1,7,4,1,0,1
7,0,40,9,8,7,1,7,0
6.5,7,40,2,10,7,2,16,0
8,0,30,3,7,6,8,10,0
7,0,40,10,3,7,1,0,1
8,0,40,3,6,9,1,4,0
6,1,60,1,4,6,4,0,1
4,0,85,13,2,9,6,0,1
6.5,2,40,5,4,8,1,6,0
5,4,30,1,3,7,1,9,0
7,0,46,2,5,10,5,0,0
6,3,45,10,1,5,3,12,1
5,0,72,0,6,4,3,1,1
7,0,40,4,7,5,10,0,1
6.5,3,42,3,8,6,5,8,0
8,5,40,4,6,4,1,7,0
5,6,45,12,8,7,1,7,0
6,0,40,9,5,6,5,0,1
6,0,45,3,4,3,6,5,1
7,1,60,2,3,4,1,0,1
6,0,60,0,8,6,3,0,0
7,0,60,1,7,7,10,0,1
8,3,40,3,7,8,4,7,0
8,0,40,2,5,4,1,0,0
6,0,72,0,6,5,1,0,1
8,6,0,4,2,8,5,7,0
6.5,3,40,9,5,6,1,5,0
7,0,40,4,6,2,5,0,1
6,4,36,2,7,6,1,7,0
5,1,60,3,5,5,3,0,1
7,2,40,10,6,7,4,14,0
9,0,0,1,8,5,6,7,0
5.5,0,45,3,2,5,1,0,1
7,4,40,3,9,2,5,14,0
6,2,39,4,8,7,7,10,0
7.5,0,40,0,5,7,7,0,0
6.5,1,55,5,5,7,3,3,1
7,3,42,4,7,6,2,6,0
5.5,0,45,7,4,5,4,0,1
8,0,34,3,8,8,1,9,0
6,2,50,0,5,6,1,5,0
7.5,5,38,3,7,7,2,8,0
5,0,70,9,3,4,5,1,1
6,2,48,5,4,6,1,0,1
7,0,40,4,8,7,1,7,0
6,0,46,6,5,5,4,3,1
8,4,36,3,7,8,1,10,0
5.5,0,45,7,4,5,5,2,1
7,0,36,4,6,6,3,5,0
7,1,52,4,7,7,1,6,0
5.5,0,50,0,5,5,4,6,1
7,4,38,3,8,7,1,8,0
5,0,72,13,1,4,4,0,1
6,0,50,5,6,6,1,2,1
7,3,44,4,7,7,2,6,0
6,0,40,9,3,3,7,9,1
8,5,35,3,8,8,1,10,0
5.5,0,40,7,4,1,1,2,1
7,0,46,5,6,6,3,5,0
6,3,54,4,7,7,2,6,0
6,0,45,6,5,5,4,3,1
7.5,4,40,3,8,7,1,8,0
5,0,72,10,6,10,6,0,1
6.5,2,50,5,6,6,3,5,0
7,3,45,4,7,7,1,6,0
6,0,50,6,5,5,1,0,1
8,5,36,3,8,8,1,14,0
5.5,0,54,2,4,5,5,2,1
7,2,48,5,6,6,1,5,0
6,0,55,4,7,7,7,6,1
6,0,60,6,5,5,4,3,1
7,0,42,3,8,7,1,8,0
5,0,70,8,2,4,6,0,1
6.5,2,54,0,6,6,3,7,0
7,3,48,4,7,7,1,6,0
8,0,30,6,5,5,1,0,0
6,1,40,11,5,5,4,0,1
5,0,45,7,4,5,5,2,1
7,3,50,5,6,3,1,14,0
6.5,0,42,4,7,3,1,6,0
6,0,40,0,4,7,4,0,1
7.5,4,44,3,8,7,1,10,0
5,0,60,2,3,4,6,0,1
6,0,54,9,6,6,3,0,1
7,0,50,4,7,2,1,6,0
6.5,2,44,6,5,10,1,0,0
8,5,40,3,8,8,1,21,0
7,0,72,1,6,7,6,2,1
5,2,52,5,3,6,3,5,1
6,3,48,6,9,8,1,0,0
6,0,50,2,8,3,8,7,1
7.5,4,46,10,1,6,3,2,0
5,0,40,11,3,6,1,0,1
5.5,0,60,4,6,6,1,4,1
7,5,50,9,9,3,6,7,0
8,0,70,0,3,8,1,0,1
8,6,40,3,8,8,8,10,0
5.5,0,74,7,5,5,5,0,1
7,0,45,2,6,6,1,5,0
6.5,7,50,4,7,2,1,6,0
6,1,54,11,5,8,4,9,1
8,0,36,5,10,7,1,14,0
5,0,60,3,3,6,6,0,1
6,2,48,5,9,6,1,0,1
7,0,45,12,7,9,1,6,0
6,0,60,0,8,7,8,0,1
8,5,44,3,8,3,1,10,0
4,0,70,2,4,2,7,0,1
7,0,60,3,7,8,1,2,0
6,1,45,11,7,4,4,0,1
7.5,4,40,4,8,7,1,8,0
9,0,0,0,10,5,4,14,0
6,2,54,10,3,7,6,0,1
7,3,55,4,7,1,2,6,0
6,0,36,5,5,3,8,14,1
8,0,46,5,8,3,1,0,0
5.5,5,75,13,4,5,4,2,1
7,0,30,2,10,4,1,7,0
8,0,49,5,6,9,1,4,0
8,2,40,9,8,5,5,2,0
8,0,60,0,3,5,7,0,1
6,0,48,2,7,5,1,7,0
5,5,36,3,8,10,3,0,0
7.5,6,35,8,2,7,5,14,0
6,0,54,12,1,10,9,7,1
6,0,55,2,6,9,1,12,0
7,2,45,10,3,7,4,10,0
7,5,30,3,8,9,1,14,0
6,0,54,2,7,6,5,5,1
6.5,0,50,3,4,2,7,2,1
7,0,60,1,9,5,6,0,1
6,1,48,0,6,10,1,0,0
8,6,40,10,1,7,1,5,0
8,7,35,4,7,8,1,7,0
5,0,72,0,2,4,9,0,1
6.5,0,46,6,10,8,6,5,0
8,0,40,2,4,6,1,3,0
7.5,3,50,4,3,5,5,5,1
5,0,45,5,5,4,7,1,1
6.5,2,36,6,5,7,4,10,0
8,0,45,3,7,5,2,2,0
4.5,2,50,6,2,6,4,8,1
8,2,25,7,8,8,3,4,0
4,1,54,10,3,3,5,0,1
6,3,60,2,6,6,4,0,1
6.5,0,25,6,5,5,2,21,0
7.5,0,40,10,6,7,1,0,0
7,2,45,12,5,6,3,8,0
5,0,60,2,8,4,6,2,1
6,5,55,14,4,8,1,6,1
6,0,20,8,1,6,3,14,1
5,0,60,4,6,4,1,4,1
7,1,42,6,7,7,4,5,0
5.5,0,50,2,5,6,8,7,1
8,2,15,7,6,4,1,21,0
6,0,30,5,5,5,2,1,1
6,0,55,2,4,5,9,3,1
7.5,4,45,11,7,7,3,0,1
5,2,30,6,5,3,1,2,1
6,0,40,3,4,6,5,0,1
7,2,40,5,8,6,2,0,0
6,0,50,7,4,5,1,7,1
6.5,3,30,8,10,7,3,4,0
4,0,70,0,9,4,7,0,1
8,4,30,6,8,8,6,5,0
7,0,35,5,4,6,2,10,0
6,2,50,8,4,7,4,5,1
9,0,40,4,7,6,3,4,0
6,0,60,12,6,5,1,8,1
6.5,0,50,1,5,4,5,0,1
7,2,40,9,7,7,1,7,0
6,0,60,10,4,5,3,5,1
7,3,30,4,8,8,8,10,0
6.5,0,55,4,4,5,3,5,1
5,0,70,0,7,4,4,7,1
7,0,35,7,6,4,4,8,1
6.5,3,45,8,9,6,1,3,0
7,4,60,4,3,4,3,2,1
8.5,0,35,6,5,7,1,4,0
6,0,42,7,2,5,3,5,1
8,5,50,8,4,7,1,9,0
5,0,55,12,6,7,1,0,1
7,0,45,3,7,6,4,5,0
8.5,2,55,9,6,5,3,7,0
8,2,0,12,6,6,8,7,0
7,0,30,5,4,5,8,1,1
6,0,45,2,3,6,4,4,1
7,2,50,8,7,5,1,6,0
7,0,55,4,3,6,1,2,1
8,2,40,9,8,7,2,0,0
5.5,0,55,0,4,5,3,0,1
7,3,30,6,10,8,4,5,0
6,2,50,5,3,5,3,5,1
4.5,0,72,8,5,9,2,0,1
7,3,40,8,8,7,1,5,0
8,0,40,1,5,6,4,5,0
5.5,2,50,4,4,5,5,2,1
7,0,50,10,2,7,1,7,1
6,0,60,4,5,2,6,0,1
7,5,40,1,8,8,5,7,0
5.5,0,54,9,6,7,2,1,1
6,2,35,5,8,6,3,7,0
8,3,45,4,7,8,1,2,0
6,0,54,2,3,3,5,1,1
7.5,0,35,1,6,7,5,6,0
6,3,52,5,5,6,7,7,1
8,0,50,9,1,8,1,5,1
5.5,0,55,4,10,6,7,2,1
6,4,60,6,5,5,1,0,1
7,3,48,3,6,7,3,4,0
5.5,0,70,10,3,8,6,0,1
8,2,54,4,8,3,4,8,0
5,0,45,8,4,9,3,3,1
7,4,35,5,6,5,4,12,0
6,0,50,5,8,3,5,5,1
5.5,0,55,7,3,6,2,10,1
7,6,30,6,1,4,5,4,1
6.5,0,45,3,5,5,8,2,1
5.5,2,52,6,6,7,2,15,0
7,0,55,6,9,3,6,0,1
6,0,45,10,7,6,1,5,0
5,0,40,6,3,9,5,2,1
7,1,50,3,3,5,4,0,1
7,0,45,5,6,5,6,2,0
6.5,0,50,4,5,6,7,5,1
5,0,60,11,6,5,4,0,1
7,6,40,8,6,7,3,4,0
6,4,35,4,5,6,1,6,0
5.5,0,45,5,2,5,1,14,1
8,2,50,2,7,7,5,7,0
6,0,72,0,5,8,6,0,1
7,0,70,1,8,5,7,2,1
5,0,70,2,7,7,1,0,1
7,2,50,3,7,8,3,14,0
6,1,45,5,6,4,2,5,0
8,0,40,4,4,7,6,0,1
7,0,55,1,6,9,6,7,0
7,2,35,4,6,8,1,0,0
5.5,0,60,9,3,6,1,4,1
5,2,45,5,4,5,4,0,1
7,3,50,6,7,8,6,6,0
5.5,0,45,3,6,7,8,2,1
7,0,35,2,4,8,1,10,0
7,2,55,1,8,5,2,1,0
6,0,52,2,9,7,2,2,0
5,0,54,8,5,6,5,0,1
7,3,45,9,7,6,4,10,0
6,0,50,5,6,8,1,0,1
8,0,50,11,4,5,6,7,1
6.5,2,36,3,8,5,1,5,0
6,2,54,7,5,6,10,0,1
6.5,0,45,6,4,6,4,0,1
5,0,40,3,8,7,1,10,0
6,0,55,10,3,7,2,5,1
8,7,40,3,4,8,1,6,0
9,0,35,5,6,7,2,5,0
5,4,48,6,9,6,6,9,0
7,2,45,4,7,7,3,10,0
6,1,55,0,7,3,3,2,1
5.5,0,54,1,8,7,1,7,0
6.5,0,30,4,6,7,1,3,0
7,4,35,6,7,8,8,6,0
6,0,45,8,8,4,6,0,1
8,3,70,8,8,6,1,0,0
6,0,60,4,6,6,4,0,1
7,0,50,6,7,7,10,4,1
5.5,0,52,2,4,9,6,7,1
8,5,40,3,7,8,4,14,0
6,0,45,2,5,7,1,2,0
5,0,54,4,3,7,1,6,1
7,4,55,3,6,6,5,5,0
6.5,2,50,5,4,5,6,4,1
8,0,40,4,7,9,1,0,0
5.5,0,55,1,3,6,7,5,1
7,2,45,8,6,10,3,7,0
5,1,55,7,4,8,2,2,1
8,4,40,9,2,8,3,12,0
6,0,54,2,5,6,7,0,1
7,2,45,6,10,7,4,2,0
5,0,70,10,8,6,6,0,1
7.5,3,50,8,7,8,1,7,0
6,0,35,6,4,6,2,4,1
5.5,0,52,3,4,5,7,0,1
7,1,40,2,6,7,3,3,0
6.5,3,30,7,8,3,2,14,0
5.5,0,50,4,9,4,7,5,1
7,0,55,10,5,8,5,0,1
6,3,45,3,8,6,1,6,0
5,2,50,8,4,5,1,3,1
6.5,0,70,0,5,2,6,0,1
7,4,40,3,9,8,1,5,0
5,1,52,6,7,5,5,12,1
6,0,60,10,4,6,3,0,1
8,0,40,4,7,3,2,10,0
7.5,3,40,5,4,7,6,2,0
5.5,0,45,3,8,6,1,5,0
6.5,1,50,4,4,3,1,0,1
6,0,55,10,7,4,6,5,1
5.5,0,65,1,5,6,5,0,1
8,4,54,9,7,8,4,6,0
7,1,40,8,4,6,8,0,1
5,3,35,2,2,7,10,7,1
7,0,52,10,6,4,4,5,1
6,4,40,3,6,7,1,4,0
5.5,0,54,10,6,9,4,2,1
8,1,45,5,7,4,6,0,1
6.5,0,50,6,9,6,1,5,0
6.5,0,60,0,7,7,3,7,0
7,2,70,11,5,8,7,0,1
6,0,55,10,4,7,1,10,1
5,0,50,4,2,5,6,2,1
7,4,35,8,6,6,1,5,0
6,2,40,8,6,7,3,4,0
5.5,0,60,10,8,6,2,0,1
8,0,0,8,2,5,5,14,1
6,4,42,5,7,6,1,2,0
5,2,45,10,4,7,6,0,1
7,2,40,6,6,7,2,4,0
6.5,1,55,2,7,6,1,3,0
5,0,72,0,2,8,6,0,1
8,3,35,9,6,3,4,5,0
6,0,52,10,4,9,1,0,1
5.5,4,40,3,8,5,5,10,0
7,1,50,8,6,7,2,9,0
7,0,35,4,9,6,1,15,0
5,0,45,10,4,5,7,0,1
8,4,50,2,7,8,1,5,0
6,2,50,2,1,6,8,0,1
5.5,0,60,11,5,7,4,5,1
7,3,35,7,6,7,10,14,0
6.5,2,55,5,3,6,5,2,0
5,0,45,4,8,5,4,1,1
7,2,54,4,6,8,3,6,0
6.5,3,55,2,10,6,4,7,0
5,0,45,11,6,9,7,0,1
7.5,3,40,2,4,8,5,10,0
6,0,52,10,5,7,6,0,1
6,2,45,2,9,6,2,2,0
5.5,0,50,4,6,6,1,5,1
7,3,50,5,7,8,2,7,0
7,0,45,0,6,9,6,0,0
5.5,0,30,6,7,5,2,5,0
7,2,20,4,7,7,4,4,0
6,0,45,11,3,6,3,5,1
5.5,0,40,0,8,6,3,0,0
7,2,45,8,7,5,1,12,0
9,0,30,3,4,6,1,0,0
4.5,0,55,6,6,7,7,0,1
7.5,2,55,5,6,7,2,8,0
6,0,45,2,5,6,3,6,0
5.5,1,50,10,4,10,1,0,1
8,0,35,4,9,6,3,14,0
6,2,72,12,6,8,2,0,1
5,0,54,3,6,2,3,0,1
7.5,4,40,10,8,4,1,14,0
6,2,55,9,5,8,4,10,1
5.5,0,54,2,3,4,8,0,1
7,0,50,0,6,8,3,4,0
7,5,30,6,5,6,4,15,0
5.5,0,45,3,8,6,5,0,0
7.5,2,55,10,7,3,6,5,1
6,0,50,4,8,2,1,10,1
5.5,0,54,4,5,7,8,5,1
7,1,54,4,4,5,4,10,1
6.5,2,60,8,5,6,5,0,0
6,0,25,8,7,3,1,15,0
8,4,50,6,7,8,3,5,0
6,0,40,4,3,8,7,2,1
5.5,0,72,9,5,6,1,0,1
7,3,52,9,6,7,5,7,0
6.5,0,40,11,3,6,6,9,1
6,0,54,10,6,4,5,1,1
7.5,4,45,2,8,5,1,7,0
6,0,45,3,7,9,1,0,0
6,0,35,3,4,5,5,14,1
7.5,6,54,12,7,8,1,0,0
7,1,30,1,7,5,2,5,0
5,0,45,5,3,7,4,0,1
